CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2017-1000364,https://www.cvedetails.com/cve/CVE-2017-1000364/,6.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000364,https://www.cvedetails.com/cve/CVE-2017-1000364/,6.2,Complete,Complete,Complete,Not required,None,Bypass a restriction or similar
CVE-2017-1000363,https://www.cvedetails.com/cve/CVE-2017-1000363/,7.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000362,https://www.cvedetails.com/cve/CVE-2017-1000362/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000361,https://www.cvedetails.com/cve/CVE-2017-1000361/,5.0,None,None,Partial,Not required,None,-
CVE-2017-1000360,https://www.cvedetails.com/cve/CVE-2017-1000360/,5.0,None,None,Partial,Not required,None,-
CVE-2017-1000359,https://www.cvedetails.com/cve/CVE-2017-1000359/,5.0,None,None,Partial,Not required,None,-
CVE-2017-1000358,https://www.cvedetails.com/cve/CVE-2017-1000358/,4.0,None,None,Partial,???,None,-
CVE-2017-1000357,https://www.cvedetails.com/cve/CVE-2017-1000357/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000257,https://www.cvedetails.com/cve/CVE-2017-1000257/,6.4,Partial,None,Partial,Not required,None,Overflow
CVE-2017-1000256,https://www.cvedetails.com/cve/CVE-2017-1000256/,6.8,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000255,https://www.cvedetails.com/cve/CVE-2017-1000255/,6.6,None,Complete,Complete,Not required,None,-
CVE-2017-1000254,https://www.cvedetails.com/cve/CVE-2017-1000254/,5.0,None,None,Partial,Not required,None,Overflow
CVE-2017-1000253,https://www.cvedetails.com/cve/CVE-2017-1000253/,7.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000251,https://www.cvedetails.com/cve/CVE-2017-1000251/,7.7,Complete,Complete,Complete,???,None,Execute Code
CVE-2017-1000251,https://www.cvedetails.com/cve/CVE-2017-1000251/,7.7,Complete,Complete,Complete,???,None,Overflow
CVE-2017-1000248,https://www.cvedetails.com/cve/CVE-2017-1000248/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000247,https://www.cvedetails.com/cve/CVE-2017-1000247/,5.0,None,Partial,None,Not required,None,-
